| network_model                | SparseAndRGBGuidedDepth           |
| pretrained                   | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nn                                |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 8                                 |
| learning_rate                | 0.01                              |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | 4batch_overfit_nn_train.list      |
| val_datalist                 | 4batch_overfit_nn_test.list       |
| root_folder                  | data/nn_dataset/                  |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | False                             |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 |                                   |

New model saved: weights/2022_08_17-09_33_05_AM/SparseAndRGBGuidedDepth_1.pth 
| d1       |  0.120858 |
| d2       |  0.24364  |
| d3       |  0.357714 |
| abs_rel  |  3.61203  |
| sq_rel   | 89.581    |
| rmse     | 13.5418   |
| rmse_log |  1.39115  |
| log10    |  0.495975 |
| silog    |  1.19907  |

New model saved: weights/2022_08_17-09_33_05_AM/SparseAndRGBGuidedDepth_2.pth 
| d1       | 0         |
| d2       | 0.0230741 |
| d3       | 0.0615397 |
| abs_rel  | 0.742995  |
| sq_rel   | 3.86715   |
| rmse     | 7.71694   |
| rmse_log | 1.70357   |
| log10    | 0.676411  |
| silog    | 1.29866   |

New model saved: weights/2022_08_17-09_33_05_AM/SparseAndRGBGuidedDepth_15.pth 
| d1       | 0         |
| d2       | 0.0230873 |
| d3       | 0.0618631 |
| abs_rel  | 0.742912  |
| sq_rel   | 3.86697   |
| rmse     | 7.71691   |
| rmse_log | 1.70347   |
| log10    | 0.676332  |
| silog    | 1.29863   |

New model saved: weights/2022_08_17-09_33_05_AM/SparseAndRGBGuidedDepth_16.pth 
| d1       | 0.000264005 |
| d2       | 0.0241106   |
| d3       | 0.0636336   |
| abs_rel  | 0.742314    |
