| network_model                | DecnetModule                      |
| resolution                   | full                              |
| pretrained                   | True                              |
| augment                      | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nyuv2                             |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 4                                 |
| learning_rate                | 0.001                             |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | nyu_4_overfit.list                |
| val_datalist                 | nyu_4_overfit.list                |
| root_folder                  | data/nyuv2_dataset/               |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | True                              |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 | NYUoverDecNetEncoTrained          |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_1.pth 
| d1       |  0.00235433 |
| d2       |  0.0614632  |
| d3       |  0.150143   |
| abs_rel  |  2.23459    |
| sq_rel   | 13.2439     |
| rmse     |  5.79124    |
| rmse_log |  1.28045    |
| log10    |  0.506974   |
| silog    |  1.03227    |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_2.pth 
| d1       | 0.0124178 |
| d2       | 0.0812443 |
| d3       | 0.195991  |
| abs_rel  | 1.66295   |
| sq_rel   | 7.76408   |
| rmse     | 4.63218   |
| rmse_log | 0.984035  |
| log10    | 0.404931  |
| silog    | 0.731579  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_3.pth 
| d1       | 0.0139738 |
| d2       | 0.0955412 |
| d3       | 0.274445  |
| abs_rel  | 1.46812   |
| sq_rel   | 6.26654   |
| rmse     | 4.2116    |
| rmse_log | 0.908015  |
| log10    | 0.371078  |
| silog    | 0.677772  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_4.pth 
| d1       | 0.0248617 |
| d2       | 0.156596  |
| d3       | 0.378568  |
| abs_rel  | 1.26357   |
| sq_rel   | 4.81962   |
| rmse     | 3.7566    |
| rmse_log | 0.852777  |
| log10    | 0.336949  |
| silog    | 0.663396  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_5.pth 
| d1       | 0.0614518 |
| d2       | 0.22235   |
| d3       | 0.471234  |
| abs_rel  | 1.10124   |
| sq_rel   | 3.90436   |
| rmse     | 3.52962   |
| rmse_log | 1.13714   |
| log10    | 0.368104  |
| silog    | 1.06149   |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_6.pth 
| d1       | 0.126333 |
| d2       | 0.301563 |
| d3       | 0.520287 |
| abs_rel  | 0.980174 |
| sq_rel   | 3.29907  |
| rmse     | 3.32452  |
| rmse_log | 1.36323  |
| log10    | 0.401381 |
| silog    | 1.33524  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_7.pth 
| d1       | 0.19828  |
| d2       | 0.356548 |
| d3       | 0.558598 |
| abs_rel  | 0.900243 |
| sq_rel   | 2.89524  |
| rmse     | 3.1226   |
| rmse_log | 1.44303  |
| log10    | 0.404185 |
| silog    | 1.42986  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_8.pth 
| d1       | 0.233723 |
| d2       | 0.396066 |
| d3       | 0.587917 |
| abs_rel  | 0.85086  |
| sq_rel   | 2.66639  |
| rmse     | 2.99207  |
| rmse_log | 1.41232  |
| log10    | 0.386552 |
| silog    | 1.3989   |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_9.pth 
| d1       | 0.250729 |
| d2       | 0.418786 |
| d3       | 0.608344 |
| abs_rel  | 0.810929 |
| sq_rel   | 2.4607   |
| rmse     | 2.87811  |
| rmse_log | 1.37881  |
| log10    | 0.370463 |
| silog    | 1.36654  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_10.pth 
| d1       | 0.263022 |
| d2       | 0.444064 |
| d3       | 0.641817 |
| abs_rel  | 0.760562 |
| sq_rel   | 2.16732  |
| rmse     | 2.70168  |
| rmse_log | 1.28991  |
| log10    | 0.341309 |
| silog    | 1.27754  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_11.pth 
| d1       | 0.27387  |
| d2       | 0.472258 |
| d3       | 0.684694 |
| abs_rel  | 0.709893 |
| sq_rel   | 1.87664  |
| rmse     | 2.50056  |
| rmse_log | 1.18055  |
| log10    | 0.309045 |
| silog    | 1.16771  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_12.pth 
| d1       | 0.294466 |
| d2       | 0.517537 |
| d3       | 0.735614 |
| abs_rel  | 0.64962  |
| sq_rel   | 1.56313  |
| rmse     | 2.24785  |
| rmse_log | 1.02983  |
| log10    | 0.269011 |
| silog    | 1.01434  |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_13.pth 
| d1       | 0.321977 |
| d2       | 0.562344 |
| d3       | 0.784281 |
| abs_rel  | 0.591928 |
| sq_rel   | 1.28589  |
| rmse     | 1.99139  |
| rmse_log | 0.857637 |
| log10    | 0.230006 |
| silog    | 0.836075 |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_14.pth 
| d1       | 0.34408  |
| d2       | 0.602424 |
| d3       | 0.83189  |
| abs_rel  | 0.541671 |
| sq_rel   | 1.07124  |
| rmse     | 1.78835  |
| rmse_log | 0.728396 |
| log10    | 0.201547 |
| silog    | 0.703348 |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_15.pth 
| d1       | 0.357854 |
| d2       | 0.639955 |
| d3       | 0.863684 |
| abs_rel  | 0.499338 |
| sq_rel   | 0.911948 |
| rmse     | 1.64684  |
| rmse_log | 0.640887 |
| log10    | 0.182724 |
| silog    | 0.614027 |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_16.pth 
| d1       | 0.367666 |
| d2       | 0.682566 |
| d3       | 0.88445  |
| abs_rel  | 0.458319 |
| sq_rel   | 0.785733 |
| rmse     | 1.56669  |
| rmse_log | 0.606181 |
| log10    | 0.172346 |
| silog    | 0.584054 |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_17.pth 
| d1       | 0.39253  |
| d2       | 0.719803 |
| d3       | 0.892624 |
| abs_rel  | 0.421024 |
| sq_rel   | 0.693939 |
| rmse     | 1.53493  |
| rmse_log | 0.605963 |
| log10    | 0.166968 |
| silog    | 0.591356 |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_20.pth 
| d1       | 0.453064 |
| d2       | 0.771596 |
| d3       | 0.904366 |
| abs_rel  | 0.354254 |
| sq_rel   | 0.555177 |
| rmse     | 1.46816  |
| rmse_log | 0.553306 |
| log10    | 0.151143 |
| silog    | 0.545204 |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_21.pth 
| d1       | 0.455083 |
| d2       | 0.779407 |
| d3       | 0.910896 |
| abs_rel  | 0.339831 |
| sq_rel   | 0.508526 |
| rmse     | 1.40061  |
| rmse_log | 0.503522 |
| log10    | 0.142907 |
| silog    | 0.495468 |

New model saved: weights/2022_08_23-06_17_02_PM/DecnetModule_22.pth 
| d1       | 0.469284 |
| d2       | 0.78725  |
| d3       | 0.915589 |
| abs_rel  | 0.326748 |
| sq_rel   | 0.468063 |
| rmse     | 1.33552  |
| rmse_log | 0.474535 |
| log10    | 0.1365   |
| silog    | 0.467864 |

