| network_model                | DecnetModule                      |
| pretrained                   | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nn                                |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 8                                 |
| learning_rate                | 0.0001                            |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | datalist_train_nn.list            |
| val_datalist                 | datalist_test_nn.list             |
| root_folder                  | data/nn_dataset/                  |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | False                             |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 |                                   |

New model saved: weights/2022_08_17-11_37_29_AM/DecnetModule_1.pth 
| d1       |   0.0317129 |
| d2       |   0.0704288 |
| d3       |   0.164965  |
| abs_rel  |   7.36685   |
| sq_rel   | 333.336     |
| rmse     |  25.1213    |
| rmse_log |   1.99113   |
| log10    |   0.765452  |
| silog    |   1.95412   |

New model saved: weights/2022_08_17-11_37_29_AM/DecnetModule_3.pth 
| d1       |   0.00398336 |
| d2       |   0.00816913 |
| d3       |   0.0126043  |
| abs_rel  |   8.496      |
| sq_rel   | 159.88       |
| rmse     |  17.9731     |
| rmse_log |   2.12739    |
| log10    |   0.9088     |
| silog    |   1.53158    |

New model saved: weights/2022_08_17-11_37_29_AM/DecnetModule_4.pth 
| d1       |  0.00521711 |
| d2       |  0.0122274  |
| d3       |  0.0322179  |
| abs_rel  |  5.7762     |
| sq_rel   | 73.8234     |
| rmse     | 12.0425     |
| rmse_log |  1.80064    |
| log10    |  0.765354   |
| silog    |  1.3013     |

New model saved: weights/2022_08_17-11_37_29_AM/DecnetModule_5.pth 
| d1       |  0.00699947 |
| d2       |  0.0233109  |
| d3       |  0.0486485  |
| abs_rel  |  4.52817    |
| sq_rel   | 45.5141     |
| rmse     |  9.32698    |
| rmse_log |  1.60072    |
