| network_model                | DecnetModule                      |
| resolution                   | full                              |
| pretrained                   | False                             |
| augment                      | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nyuv2                             |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 4                                 |
| learning_rate                | 0.001                             |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | nyu_4_overfit.list                |
| val_datalist                 | nyu_4_overfit.list                |
| root_folder                  | data/nyuv2_dataset/               |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | True                              |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 | NYU1MoverDecNetUntrained          |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_1.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.959725 |
| sq_rel   | 3.04731  |
| rmse     | 3.57052  |
| rmse_log | 3.38308  |
| log10    | 1.45232  |
| silog    | 2.41945  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_25.pth 
| d1       | 0.199659 |
| d2       | 0.327871 |
| d3       | 0.446358 |
| abs_rel  | 0.920972 |
| sq_rel   | 3.40481  |
| rmse     | 3.52053  |
| rmse_log | 2.23214  |
| log10    | 0.687118 |
| silog    | 2.1286   |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_26.pth 
| d1       | 0.177294 |
| d2       | 0.365319 |
| d3       | 0.522996 |
| abs_rel  | 0.843431 |
| sq_rel   | 3.01003  |
| rmse     | 3.32645  |
| rmse_log | 2.02834  |
| log10    | 0.590205 |
| silog    | 1.93537  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_27.pth 
| d1       | 0.156151 |
| d2       | 0.333082 |
| d3       | 0.510318 |
| abs_rel  | 0.842084 |
| sq_rel   | 2.88094  |
| rmse     | 3.22011  |
| rmse_log | 1.8692   |
| log10    | 0.539024 |
| silog    | 1.78675  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_31.pth 
| d1       | 0.175032 |
| d2       | 0.357779 |
| d3       | 0.518728 |
| abs_rel  | 0.839845 |
| sq_rel   | 2.75013  |
| rmse     | 3.1226   |
| rmse_log | 1.77008  |
| log10    | 0.500627 |
| silog    | 1.70298  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_32.pth 
| d1       | 0.182902 |
| d2       | 0.384386 |
| d3       | 0.560391 |
| abs_rel  | 0.771015 |
| sq_rel   | 2.40275  |
| rmse     | 3.00861  |
| rmse_log | 1.71728  |
| log10    | 0.476742 |
| silog    | 1.65024  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_35.pth 
| d1       | 0.208962 |
| d2       | 0.396457 |
| d3       | 0.597715 |
| abs_rel  | 0.772057 |
| sq_rel   | 2.37052  |
| rmse     | 2.96541  |
| rmse_log | 1.63123  |
| log10    | 0.44548  |
| silog    | 1.57627  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_36.pth 
| d1       | 0.224611 |
| d2       | 0.413619 |
| d3       | 0.630366 |
| abs_rel  | 0.751849 |
| sq_rel   | 2.24744  |
| rmse     | 2.86798  |
| rmse_log | 1.52024  |
| log10    | 0.407622 |
| silog    | 1.47419  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_37.pth 
| d1       | 0.241889 |
| d2       | 0.452896 |
| d3       | 0.666912 |
| abs_rel  | 0.714843 |
| sq_rel   | 2.0242   |
| rmse     | 2.66655  |
| rmse_log | 1.32857  |
| log10    | 0.347467 |
| silog    | 1.29239  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_38.pth 
| d1       | 0.260479 |
| d2       | 0.481717 |
| d3       | 0.696933 |
| abs_rel  | 0.691475 |
| sq_rel   | 1.89375  |
| rmse     | 2.52295  |
| rmse_log | 1.20554  |
| log10    | 0.312623 |
| silog    | 1.17007  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_39.pth 
| d1       | 0.28261  |
| d2       | 0.506812 |
| d3       | 0.71094  |
| abs_rel  | 0.681796 |
| sq_rel   | 1.86333  |
| rmse     | 2.49563  |
| rmse_log | 1.19046  |
| log10    | 0.305296 |
| silog    | 1.15713  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_41.pth 
| d1       | 0.308176 |
| d2       | 0.554196 |
| d3       | 0.740925 |
| abs_rel  | 0.638261 |
| sq_rel   | 1.66561  |
| rmse     | 2.39288  |
| rmse_log | 1.1183   |
| log10    | 0.283066 |
| silog    | 1.08406  |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_42.pth 
| d1       | 0.338603 |
| d2       | 0.608547 |
| d3       | 0.784247 |
| abs_rel  | 0.570311 |
| sq_rel   | 1.33303  |
| rmse     | 2.13046  |
| rmse_log | 0.944448 |
| log10    | 0.239341 |
| silog    | 0.902789 |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_43.pth 
| d1       | 0.369062 |
| d2       | 0.6595   |
| d3       | 0.830607 |
| abs_rel  | 0.489279 |
| sq_rel   | 1.00195  |
| rmse     | 1.87863  |
| rmse_log | 0.788066 |
| log10    | 0.202499 |
| silog    | 0.741485 |

New model saved: weights/2022_08_23-06_09_28_PM/DecnetModule_44.pth 
| d1       | 0.410471 |
| d2       | 0.742135 |
