| network_model                | DecnetModule                      |
| resolution                   | full                              |
| pretrained                   | False                             |
| augment                      | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nyuv2                             |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 4                                 |
| learning_rate                | 0.001                             |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | nyu_4_overfit.list                |
| val_datalist                 | nyu_4_overfit.list                |
| root_folder                  | data/nyuv2_dataset/               |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | True                              |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 | NYU1MoverDecNetUntrained          |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_1.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.959725 |
| sq_rel   | 3.04731  |
| rmse     | 3.57052  |
| rmse_log | 3.38308  |
| log10    | 1.45232  |
| silog    | 2.41945  |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_28.pth 
| d1       | 0.208916 |
| d2       | 0.413999 |
| d3       | 0.586225 |
| abs_rel  | 0.812244 |
| sq_rel   | 3.2086   |
| rmse     | 3.47813  |
| rmse_log | 1.69289  |
| log10    | 0.466082 |
| silog    | 1.68453  |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_29.pth 
| d1       | 0.278112 |
| d2       | 0.48846  |
| d3       | 0.665621 |
| abs_rel  | 0.703102 |
| sq_rel   | 2.69198  |
| rmse     | 3.2627   |
| rmse_log | 1.5534   |
| log10    | 0.402566 |
| silog    | 1.5483   |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_30.pth 
| d1       | 0.327769 |
| d2       | 0.539037 |
| d3       | 0.719497 |
| abs_rel  | 0.628159 |
| sq_rel   | 2.38961  |
| rmse     | 3.13023  |
| rmse_log | 1.44565  |
| log10    | 0.357511 |
| silog    | 1.44233  |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_31.pth 
| d1       | 0.360992 |
| d2       | 0.579314 |
| d3       | 0.755987 |
| abs_rel  | 0.578504 |
| sq_rel   | 2.18423  |
| rmse     | 3.00886  |
| rmse_log | 1.34466  |
| log10    | 0.321183 |
| silog    | 1.34284  |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_32.pth 
| d1       | 0.412765 |
| d2       | 0.64311  |
| d3       | 0.80519  |
| abs_rel  | 0.515222 |
| sq_rel   | 1.86011  |
| rmse     | 2.75918  |
| rmse_log | 1.14433  |
| log10    | 0.261665 |
| silog    | 1.14377  |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_33.pth 
| d1       | 0.455772 |
| d2       | 0.699637 |
| d3       | 0.849679 |
| abs_rel  | 0.455394 |
| sq_rel   | 1.54953  |
| rmse     | 2.52452  |
| rmse_log | 0.98201  |
| log10    | 0.219271 |
| silog    | 0.980356 |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_34.pth 
| d1       | 0.479884 |
| d2       | 0.738748 |
| d3       | 0.879518 |
| abs_rel  | 0.411772 |
| sq_rel   | 1.3139   |
| rmse     | 2.36172  |
| rmse_log | 0.884883 |
| log10    | 0.19613  |
| silog    | 0.8827   |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_35.pth 
| d1       | 0.486468 |
| d2       | 0.771141 |
| d3       | 0.898608 |
| abs_rel  | 0.381362 |
| sq_rel   | 1.14498  |
| rmse     | 2.24572  |
| rmse_log | 0.816456 |
| log10    | 0.181692 |
| silog    | 0.813856 |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_36.pth 
| d1       | 0.52019  |
| d2       | 0.815741 |
| d3       | 0.922533 |
| abs_rel  | 0.343321 |
| sq_rel   | 0.936795 |
| rmse     | 2.00757  |
| rmse_log | 0.621382 |
| log10    | 0.152047 |
| silog    | 0.613355 |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_37.pth 
| d1       | 0.55703  |
| d2       | 0.845843 |
| d3       | 0.937669 |
| abs_rel  | 0.312116 |
| sq_rel   | 0.78161  |
| rmse     | 1.82391  |
| rmse_log | 0.53181  |
| log10    | 0.135939 |
| silog    | 0.521928 |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_38.pth 
| d1       | 0.583605 |
| d2       | 0.865688 |
| d3       | 0.95026  |
| abs_rel  | 0.287122 |
| sq_rel   | 0.662004 |
| rmse     | 1.69296  |
| rmse_log | 0.505814 |
| log10    | 0.127059 |
| silog    | 0.495932 |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_39.pth 
| d1       | 0.601702 |
| d2       | 0.883331 |
| d3       | 0.962529 |
| abs_rel  | 0.266843 |
| sq_rel   | 0.572943 |
| rmse     | 1.59431  |
| rmse_log | 0.485049 |
| log10    | 0.120079 |
| silog    | 0.474873 |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_40.pth 
| d1       | 0.613142 |
| d2       | 0.896392 |
| d3       | 0.968525 |
| abs_rel  | 0.253791 |
| sq_rel   | 0.517138 |
| rmse     | 1.52737  |
| rmse_log | 0.467438 |
| log10    | 0.114629 |
| silog    | 0.45657  |

New model saved: weights/2022_08_23-06_11_58_PM/DecnetModule_41.pth 
| d1       | 0.628489 |
| d2       | 0.905269 |
