| network_model                | DecnetModule                      |
| pretrained                   | True                              |
| augment                      | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nn                                |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 8                                 |
| learning_rate                | 1e-05                             |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 10.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | single_image_4batch_overfit.list  |
| val_datalist                 | single_image_4batch_overfit.list  |
| root_folder                  | data/nn_dataset/                  |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | False                             |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 |                                   |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_1.pth 
| d1       | 0       |
| d2       | 0       |
| d3       | 0       |
| abs_rel  | 0.87678 |
| sq_rel   | 3.17148 |
| rmse     | 3.87524 |
| rmse_log | 2.11923 |
| log10    | 0.9167  |
| silog    | 1.50448 |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_2.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.863525 |
| sq_rel   | 3.06534  |
| rmse     | 3.80124  |
| rmse_log | 2.02035  |
| log10    | 0.873224 |
| silog    | 1.43541  |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_3.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.850022 |
| sq_rel   | 2.95847  |
| rmse     | 3.72516  |
| rmse_log | 1.93101  |
| log10    | 0.833622 |
| silog    | 1.37353  |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_4.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.835507 |
| sq_rel   | 2.84797  |
| rmse     | 3.64775  |
| rmse_log | 1.84392  |
| log10    | 0.794862 |
| silog    | 1.31346  |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_5.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.819897 |
| sq_rel   | 2.7343   |
| rmse     | 3.56962  |
| rmse_log | 1.75842  |
| log10    | 0.756722 |
| silog    | 1.25461  |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_6.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.803515 |
| sq_rel   | 2.61943  |
| rmse     | 3.49101  |
| rmse_log | 1.67653  |
| log10    | 0.720075 |
| silog    | 1.19842  |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_7.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.786037 |
| sq_rel   | 2.50112  |
| rmse     | 3.40953  |
| rmse_log | 1.59618  |
| log10    | 0.684077 |
| silog    | 1.14335  |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_8.pth 
| d1       | 0        |
| d2       | 0        |
| d3       | 0        |
| abs_rel  | 0.767295 |
| sq_rel   | 2.37956  |
| rmse     | 3.32585  |
| rmse_log | 1.51647  |
| log10    | 0.648388 |
| silog    | 1.08867  |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_9.pth 
| d1       | 0           |
| d2       | 0           |
| d3       | 2.69702e-05 |
| abs_rel  | 0.747123    |
| sq_rel   | 2.25397     |
| rmse     | 3.23816     |
| rmse_log | 1.43741     |
| log10    | 0.612957    |
| silog    | 1.03448     |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_10.pth 
| d1       | 0          |
| d2       | 0          |
| d3       | 0.00140245 |
| abs_rel  | 0.725975   |
| sq_rel   | 2.12737    |
| rmse     | 3.14779    |
| rmse_log | 1.36176    |
| log10    | 0.578846   |
| silog    | 0.982932   |

New model saved: weights/2022_08_21-10_11_59_PM/DecnetModule_11.pth 
| d1       | 0          |
| d2       | 0          |
| d3       | 0.00685042 |
| abs_rel  | 0.705244   |
| sq_rel   | 2.00767    |
