| network_model                | DecnetModule                      |
| pretrained                   | True                              |
| augment                      | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nn                                |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 8                                 |
| learning_rate                | 0.0001                            |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | single_image_4batch_overfit.list  |
| val_datalist                 | single_image_4batch_overfit.list  |
| root_folder                  | data/nn_dataset/                  |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | False                             |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 |                                   |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_1.pth 
| d1       | 0.455618 |
| d2       | 0.769227 |
| d3       | 0.948362 |
| abs_rel  | 0.329807 |
| sq_rel   | 0.605308 |
| rmse     | 1.96263  |
| rmse_log | 0.365924 |
| log10    | 0.127234 |
| silog    | 0.355867 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_4.pth 
| d1       | 0.460957 |
| d2       | 0.785134 |
| d3       | 0.951501 |
| abs_rel  | 0.314219 |
| sq_rel   | 0.565779 |
| rmse     | 1.95586  |
| rmse_log | 0.358202 |
| log10    | 0.123882 |
| silog    | 0.351769 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_5.pth 
| d1       | 0.476703 |
| d2       | 0.787655 |
| d3       | 0.957992 |
| abs_rel  | 0.307535 |
| sq_rel   | 0.546205 |
| rmse     | 1.94133  |
| rmse_log | 0.352879 |
| log10    | 0.121816 |
| silog    | 0.346678 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_6.pth 
| d1       | 0.477507 |
| d2       | 0.809732 |
| d3       | 0.961828 |
| abs_rel  | 0.297896 |
| sq_rel   | 0.522297 |
| rmse     | 1.93085  |
| rmse_log | 0.346962 |
| log10    | 0.119522 |
| silog    | 0.342281 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_7.pth 
| d1       | 0.467663 |
| d2       | 0.824056 |
| d3       | 0.963089 |
| abs_rel  | 0.288508 |
| sq_rel   | 0.501035 |
| rmse     | 1.92538  |
| rmse_log | 0.34188  |
| log10    | 0.117522 |
| silog    | 0.338721 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_8.pth 
| d1       | 0.46431  |
| d2       | 0.833767 |
| d3       | 0.964162 |
| abs_rel  | 0.279786 |
| sq_rel   | 0.482274 |
| rmse     | 1.92046  |
| rmse_log | 0.337134 |
| log10    | 0.115597 |
| silog    | 0.335087 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_9.pth 
| d1       | 0.465275 |
| d2       | 0.850023 |
| d3       | 0.965369 |
| abs_rel  | 0.271949 |
| sq_rel   | 0.465672 |
| rmse     | 1.91389  |
| rmse_log | 0.332512 |
| log10    | 0.113755 |
| silog    | 0.331223 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_10.pth 
| d1       | 0.466509 |
| d2       | 0.858955 |
| d3       | 0.966469 |
| abs_rel  | 0.265023 |
| sq_rel   | 0.452378 |
| rmse     | 1.90991  |
| rmse_log | 0.328798 |
| log10    | 0.112232 |
| silog    | 0.328106 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_24.pth 
| d1       | 0.539848 |
| d2       | 0.87564  |
| d3       | 0.962579 |
| abs_rel  | 0.23914  |
| sq_rel   | 0.45071  |
| rmse     | 1.90947  |
| rmse_log | 0.322018 |
| log10    | 0.109473 |
| silog    | 0.319619 |

New model saved: weights/2022_08_21-10_22_03_PM/DecnetModule_25.pth 
| d1       | 0.577591 |
| d2       | 0.894123 |
| d3       | 0.962687 |
| abs_rel  | 0.233149 |
| sq_rel   | 0.441195 |
| rmse     | 1.8184   |
| rmse_log | 0.298117 |
| log10    | 0.100573 |
| silog    | 0.298117 |

