| network_model                | DecnetModule                      |
| pretrained                   | True                              |
| augment                      | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nn                                |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 8                                 |
| learning_rate                | 0.001                             |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | datalist_train_nn.list            |
| val_datalist                 | datalist_test_nn.list             |
| root_folder                  | data/nn_dataset/                  |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | True                              |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 | DecnetModuleNN                    |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_1.pth 
| d1       | 0.106379 |
| d2       | 0.342595 |
| d3       | 0.564434 |
| abs_rel  | 1.201    |
| sq_rel   | 3.68046  |
| rmse     | 2.64896  |
| rmse_log | 0.745789 |
| log10    | 0.299513 |
| silog    | 0.574038 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_2.pth 
| d1       | 0.153109 |
| d2       | 0.488788 |
| d3       | 0.69705  |
| abs_rel  | 0.923527 |
| sq_rel   | 2.25663  |
| rmse     | 2.21485  |
| rmse_log | 0.621542 |
| log10    | 0.248144 |
| silog    | 0.482149 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_3.pth 
| d1       | 0.307174 |
| d2       | 0.597151 |
| d3       | 0.737775 |
| abs_rel  | 0.73447  |
| sq_rel   | 1.49759  |
| rmse     | 1.81096  |
| rmse_log | 0.529934 |
| log10    | 0.206736 |
| silog    | 0.421701 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_4.pth 
| d1       | 0.365335 |
| d2       | 0.671678 |
| d3       | 0.766199 |
| abs_rel  | 0.621432 |
| sq_rel   | 1.10599  |
| rmse     | 1.5765   |
| rmse_log | 0.467763 |
| log10    | 0.182486 |
| silog    | 0.370133 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_5.pth 
| d1       | 0.47297  |
| d2       | 0.703132 |
| d3       | 0.800214 |
| abs_rel  | 0.519603 |
| sq_rel   | 0.83633  |
| rmse     | 1.43073  |
| rmse_log | 0.4131   |
| log10    | 0.157647 |
| silog    | 0.332254 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_6.pth 
| d1       | 0.538856 |
| d2       | 0.722449 |
| d3       | 0.82975  |
| abs_rel  | 0.461198 |
| sq_rel   | 0.694454 |
| rmse     | 1.37939  |
| rmse_log | 0.380067 |
| log10    | 0.142848 |
| silog    | 0.309307 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_7.pth 
| d1       | 0.591936 |
| d2       | 0.729613 |
| d3       | 0.838593 |
| abs_rel  | 0.430642 |
| sq_rel   | 0.662527 |
| rmse     | 1.32115  |
| rmse_log | 0.362116 |
| log10    | 0.132419 |
| silog    | 0.298293 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_8.pth 
| d1       | 0.553936 |
| d2       | 0.745094 |
| d3       | 0.872209 |
| abs_rel  | 0.402949 |
| sq_rel   | 0.558452 |
| rmse     | 1.24164  |
| rmse_log | 0.348591 |
| log10    | 0.129286 |
| silog    | 0.288337 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_10.pth 
| d1       | 0.621345 |
| d2       | 0.768357 |
| d3       | 0.888709 |
| abs_rel  | 0.36143  |
| sq_rel   | 0.493698 |
| rmse     | 1.19604  |
| rmse_log | 0.322415 |
| log10    | 0.116537 |
| silog    | 0.271609 |

New model saved: weights/2022_08_22-08_09_34_AM/DecnetModule_11.pth 
| d1       | 0.637348 |
| d2       | 0.792454 |
| d3       | 0.909478 |
| abs_rel  | 0.324544 |
| sq_rel   | 0.405961 |
| rmse     | 1.08039  |
| rmse_log | 0.298242 |
| log10    | 0.107249 |
| silog    | 0.254371 |

